time,t,h,pm1,pm10,pm25,um1,um5,um03,um05,um25,pm25_station
2018-02-01 01:00:00,-7.64,39.09,0.0,100.0,68.0,106.0,17.0,3666.0,750.0,38.0,57.0
2018-02-01 02:00:00,-8.66,41.13,0.0,87.0,60.0,92.0,14.0,3338.0,652.0,33.0,40.0
2018-02-01 03:00:00,-8.79,41.82,0.0,78.0,54.0,82.0,13.0,3050.0,593.0,29.0,42.0
2018-02-01 04:00:00,-8.41,42.85,0.0,54.0,37.0,58.0,9.0,2158.0,414.0,21.0,29.0
2018-02-01 05:00:00,-9.18,44.55,0.0,50.0,34.0,52.0,8.0,2001.0,378.0,19.0,25.0
2018-02-01 06:00:00,-9.72,46.48,0.0,44.0,30.0,46.0,7.0,1796.0,332.0,17.0,25.0
2018-02-01 07:00:00,-10.18,48.01,0.0,36.0,25.0,38.0,6.0,1558.0,280.0,14.0,25.0
2018-02-01 08:00:00,-10.78,49.17,0.0,44.0,29.0,45.0,8.0,1834.0,327.0,17.0,26.0
2018-02-01 09:00:00,-8.11,42.78,0.0,81.0,57.0,85.0,13.0,2966.0,621.0,29.0,26.0
2018-02-01 10:00:00,-2.36,31.48,0.0,57.0,40.0,61.0,9.0,2184.0,444.0,21.0,27.0
2018-02-01 11:00:00,1.76,24.89,0.0,44.0,31.0,46.0,7.0,1705.0,346.0,16.0,34.0
2018-02-01 12:00:00,4.58,21.02,0.0,32.0,22.0,33.0,5.0,1205.0,245.0,12.0,42.0
2018-02-01 13:00:00,5.45,20.29,0.0,27.0,18.0,28.0,5.0,990.0,201.0,11.0,36.0
2018-02-01 14:00:00,8.09,17.91,0.0,25.0,17.0,27.0,5.0,913.0,192.0,11.0,64.0
2018-02-01 15:00:00,9.48,16.67,0.0,27.0,18.0,29.0,5.0,989.0,206.0,11.0,99.0
2018-02-01 16:00:00,8.28,17.31,0.0,13.0,8.0,15.0,3.0,589.0,116.0,6.0,20.0
2018-02-01 17:00:00,6.26,19.19,0.0,15.0,9.0,18.0,3.0,703.0,139.0,6.0,19.0
2018-02-01 18:00:00,3.52,23.94,0.0,29.0,20.0,30.0,4.0,1118.0,226.0,11.0,35.0
2018-02-01 19:00:00,2.74,26.4,0.0,15.0,10.0,18.0,2.0,720.0,139.0,6.0,26.0
2018-02-01 20:00:00,1.58,26.22,0.0,10.0,6.0,12.0,1.0,539.0,97.0,3.0,12.0
2018-02-01 21:00:00,-0.29,28.16,0.0,11.0,7.0,14.0,1.0,608.0,110.0,4.0,11.0
2018-02-01 22:00:00,-0.53,26.56,0.0,6.0,4.0,6.0,0.0,371.0,57.0,1.0,4.0
2018-02-01 23:00:00,-1.5,26.88,0.0,4.0,3.0,4.0,0.0,299.0,40.0,1.0,3.0
2018-02-02 00:00:00,-2.48,28.43,0.0,3.0,2.0,3.0,0.0,260.0,32.0,0.0,5.0
2018-02-02 01:00:00,-3.75,31.52,0.0,3.0,2.0,3.0,0.0,280.0,34.0,0.0,6.0
2018-02-02 02:00:00,-4.93,33.62,0.0,4.0,3.0,4.0,0.0,318.0,40.0,1.0,5.0
2018-02-02 03:00:00,-5.67,34.68,0.0,4.0,3.0,4.0,0.0,341.0,44.0,1.0,7.0
2018-02-02 04:00:00,-5.39,33.49,0.0,5.0,3.0,5.0,0.0,356.0,47.0,1.0,7.0
2018-02-02 05:00:00,-5.81,34.52,0.0,5.0,3.0,5.0,0.0,377.0,48.0,1.0,6.0
2018-02-02 06:00:00,-6.38,35.69,0.0,5.0,4.0,5.0,0.0,408.0,51.0,1.0,4.0
2018-02-02 07:00:00,-6.67,34.36,0.0,5.0,4.0,5.0,0.0,405.0,50.0,1.0,4.0
2018-02-02 08:00:00,-7.24,29.86,0.0,11.0,8.0,13.0,1.0,632.0,100.0,3.0,5.0
2018-02-02 09:00:00,-6.26,25.93,0.0,11.0,7.0,13.0,1.0,632.0,101.0,4.0,3.0
2018-02-02 10:00:00,-1.43,19.36,0.0,6.0,4.0,6.0,0.0,385.0,56.0,1.0,5.0
2018-02-02 11:00:00,-0.3,18.18,0.0,5.0,3.0,5.0,0.0,332.0,48.0,1.0,6.0
2018-02-02 12:00:00,0.31,17.67,0.0,5.0,3.0,4.0,0.0,323.0,47.0,1.0,6.0
2018-02-02 13:00:00,-0.31,18.23,0.0,4.0,3.0,4.0,0.0,307.0,42.0,1.0,7.0
2018-02-02 14:00:00,2.7,15.67,0.0,5.0,3.0,4.0,0.0,315.0,45.0,1.0,7.0
2018-02-02 15:00:00,4.0,14.29,0.0,4.0,3.0,4.0,0.0,323.0,46.0,0.0,3.0
2018-02-02 16:00:00,3.61,14.1,0.0,4.0,3.0,4.0,0.0,310.0,42.0,0.0,6.0
2018-02-02 17:00:00,1.87,15.09,0.0,4.0,3.0,4.0,0.0,320.0,45.0,1.0,6.0
2018-02-02 18:00:00,-1.56,18.14,0.0,6.0,4.0,7.0,0.0,404.0,62.0,1.0,5.0
2018-02-02 19:00:00,-3.24,20.7,0.0,13.0,9.0,15.0,1.0,712.0,125.0,4.0,4.0
2018-02-02 20:00:00,-4.65,22.76,0.0,16.0,11.0,19.0,2.0,826.0,146.0,5.0,5.0
2018-02-02 21:00:00,-6.09,25.96,0.0,8.0,6.0,10.0,0.0,556.0,86.0,2.0,7.0
2018-02-02 22:00:00,-6.4,26.25,0.0,8.0,5.0,8.0,0.0,505.0,73.0,2.0,5.0
2018-02-02 23:00:00,-7.1,27.32,0.0,8.0,5.0,8.0,0.0,515.0,73.0,2.0,5.0
2018-02-03 00:00:00,-8.6,30.46,0.0,10.0,6.0,11.0,1.0,628.0,93.0,3.0,6.0
2018-02-03 01:00:00,-9.86,33.11,0.0,10.0,6.0,11.0,1.0,660.0,94.0,3.0,6.0
2018-02-03 02:00:00,-10.5,34.91,0.0,9.0,6.0,11.0,1.0,671.0,92.0,3.0,7.0
2018-02-03 03:00:00,-11.69,37.13,0.0,10.0,7.0,12.0,1.0,731.0,101.0,3.0,9.0
2018-02-03 04:00:00,-12.47,39.89,0.0,15.0,10.0,18.0,2.0,959.0,140.0,5.0,10.0
2018-02-03 05:00:00,-13.3,42.62,0.0,27.0,19.0,29.0,4.0,1349.0,214.0,10.0,8.0
2018-02-03 06:00:00,-12.71,41.63,0.0,17.0,11.0,19.0,2.0,1025.0,150.0,6.0,11.0
2018-02-03 07:00:00,-13.64,44.01,0.0,21.0,15.0,25.0,3.0,1273.0,189.0,8.0,19.0
2018-02-03 08:00:00,-13.34,44.97,0.0,59.0,40.0,62.0,10.0,2508.0,447.0,22.0,12.0
2018-02-03 09:00:00,-11.22,42.17,0.0,70.0,49.0,74.0,11.0,2920.0,540.0,26.0,12.0
2018-02-03 10:00:00,-3.22,26.44,0.0,31.0,22.0,33.0,3.0,1308.0,250.0,10.0,16.0
2018-02-03 11:00:00,-0.25,20.89,0.0,15.0,11.0,18.0,1.0,797.0,145.0,5.0,11.0
2018-02-03 12:00:00,0.76,19.29,0.0,8.0,6.0,9.0,0.0,524.0,84.0,2.0,8.0
2018-02-03 13:00:00,0.63,19.35,0.0,6.0,4.0,6.0,0.0,354.0,54.0,1.0,3.0
2018-02-03 14:00:00,3.25,16.99,0.0,5.0,3.0,4.0,0.0,333.0,47.0,1.0,4.0
2018-02-03 15:00:00,5.12,15.15,0.0,3.0,2.0,3.0,0.0,277.0,35.0,0.0,13.0
2018-02-03 16:00:00,4.01,15.6,0.0,3.0,2.0,2.0,0.0,259.0,30.0,0.0,8.0
2018-02-03 17:00:00,2.81,16.13,0.0,3.0,2.0,3.0,0.0,268.0,34.0,0.0,3.0
2018-02-03 18:00:00,-0.93,18.42,0.0,5.0,4.0,5.0,0.0,360.0,53.0,1.0,3.0
2018-02-03 19:00:00,-2.38,19.35,0.0,9.0,6.0,11.0,1.0,538.0,93.0,3.0,3.0
2018-02-03 20:00:00,-3.98,21.32,0.0,11.0,7.0,13.0,1.0,647.0,110.0,4.0,4.0
2018-02-03 21:00:00,-5.13,22.93,0.0,7.0,5.0,7.0,0.0,465.0,69.0,1.0,3.0
2018-02-03 22:00:00,-6.07,24.56,0.0,8.0,5.0,8.0,0.0,496.0,75.0,2.0,5.0
2018-02-03 23:00:00,-7.15,26.82,0.0,5.0,3.0,5.0,0.0,399.0,49.0,1.0,3.0
2018-02-04 00:00:00,-8.11,29.24,0.0,4.0,3.0,5.0,0.0,394.0,45.0,1.0,7.0
2018-02-04 01:00:00,-8.91,32.25,0.0,9.0,6.0,10.0,1.0,592.0,82.0,3.0,4.0
2018-02-04 02:00:00,-10.33,35.23,0.0,33.0,23.0,35.0,4.0,1515.0,262.0,11.0,4.0
2018-02-04 03:00:00,-10.58,36.98,0.0,18.0,12.0,19.0,2.0,957.0,151.0,6.0,4.0
2018-02-04 04:00:00,-12.46,40.5,0.0,12.0,8.0,15.0,1.0,834.0,117.0,4.0,7.0
