time,t,h,pm1,pm10,pm25,um1,um5,um03,um05,um10,um25,ae1,ae10,ae25,pm25_station
2017-11-10 00:00:00,8.76,82.9,0.0,147.0,107.0,118.0,11.0,4520.0,949.0,118.0,33.0,0.0,20.0,14.0,43.0
2017-11-10 00:00:00,12.78,42.48,0.0,32.0,21.0,25.0,7.0,954.0,186.0,25.0,12.0,0.0,0.0,0.0,43.0
2017-11-10 01:00:00,13.22,29.54,0.0,5.0,2.0,4.0,2.0,163.0,29.0,4.0,3.0,0.0,0.0,0.0,9.0
2017-11-10 01:00:00,13.22,29.54,0.0,5.0,2.0,4.0,2.0,163.0,29.0,4.0,3.0,0.0,0.0,0.0,9.0
2017-11-10 02:00:00,12.41,29.79,0.0,3.0,1.0,2.0,1.0,131.0,18.0,2.0,1.0,0.0,0.0,0.0,6.0
2017-11-10 02:00:00,12.41,29.79,0.0,3.0,1.0,2.0,1.0,131.0,18.0,2.0,1.0,0.0,0.0,0.0,6.0
2017-11-10 03:00:00,11.6,31.1,0.0,2.0,1.0,1.0,1.0,124.0,16.0,1.0,1.0,0.0,0.0,0.0,7.0
2017-11-10 03:00:00,11.6,31.1,0.0,2.0,1.0,1.0,1.0,124.0,16.0,1.0,1.0,0.0,0.0,0.0,7.0
2017-11-10 04:00:00,10.56,32.06,0.0,3.0,2.0,2.0,0.0,171.0,22.0,2.0,1.0,0.0,0.0,0.0,7.0
2017-11-10 04:00:00,10.56,32.06,0.0,3.0,2.0,2.0,0.0,171.0,22.0,2.0,1.0,0.0,0.0,0.0,7.0
2017-11-10 05:00:00,9.44,33.55,0.0,4.0,3.0,2.0,0.0,236.0,30.0,2.0,1.0,0.0,0.0,0.0,4.0
2017-11-10 05:00:00,9.44,33.55,0.0,4.0,3.0,2.0,0.0,236.0,30.0,2.0,1.0,0.0,0.0,0.0,4.0
2017-11-10 06:00:00,8.88,35.64,0.0,4.0,2.0,2.0,0.0,212.0,26.0,2.0,0.0,0.0,0.0,0.0,2.0
2017-11-10 06:00:00,8.88,35.64,0.0,4.0,2.0,2.0,0.0,212.0,26.0,2.0,0.0,0.0,0.0,0.0,2.0
2017-11-10 07:00:00,8.55,36.75,0.0,3.0,2.0,2.0,0.0,210.0,24.0,2.0,0.0,0.0,0.0,0.0,7.0
2017-11-10 07:00:00,8.55,36.75,0.0,3.0,2.0,2.0,0.0,210.0,24.0,2.0,0.0,0.0,0.0,0.0,7.0
2017-11-10 08:00:00,8.73,34.92,0.0,6.0,4.0,3.0,0.0,277.0,38.0,3.0,1.0,0.0,1.0,0.0,7.0
2017-11-10 08:00:00,8.73,34.92,0.0,6.0,4.0,3.0,0.0,277.0,38.0,3.0,1.0,0.0,1.0,0.0,7.0
2017-11-10 09:00:00,11.46,30.11,0.0,6.0,4.0,4.0,1.0,281.0,39.0,4.0,1.0,0.0,0.0,0.0,6.0
2017-11-10 09:00:00,11.46,30.11,0.0,6.0,4.0,4.0,1.0,281.0,39.0,4.0,1.0,0.0,0.0,0.0,6.0
2017-11-10 10:00:00,10.68,30.45,0.0,8.0,5.0,5.0,1.0,356.0,53.0,5.0,2.0,0.0,0.0,0.0,6.0
2017-11-10 10:00:00,10.68,30.45,0.0,8.0,5.0,5.0,1.0,356.0,53.0,5.0,2.0,0.0,0.0,0.0,6.0
2017-11-10 11:00:00,10.14,31.26,0.0,10.0,6.0,7.0,2.0,375.0,61.0,7.0,4.0,0.0,0.0,0.0,7.0
2017-11-10 11:00:00,10.14,31.26,0.0,10.0,6.0,7.0,2.0,375.0,61.0,7.0,4.0,0.0,0.0,0.0,7.0
2017-11-10 12:00:00,10.42,29.67,0.0,11.0,8.0,7.0,1.0,464.0,69.0,7.0,2.0,0.0,2.0,1.0,7.0
2017-11-10 12:00:00,10.42,29.67,0.0,11.0,8.0,7.0,1.0,464.0,69.0,7.0,2.0,0.0,2.0,1.0,7.0
2017-11-10 13:00:00,10.47,28.69,0.0,6.0,4.0,4.0,0.0,321.0,43.0,4.0,1.0,0.0,1.0,0.0,10.0
