time,t,h,pm1,pm10,pm25,um1,um5,um03,um05,um10,um25,ae1,ae10,ae25,pm25_station
2017-12-02 15:00:00,9.73,32.32,220.99,364.38,262.79,306.14,31.36,9895.65,2407.03,18.99,86.09,,,,215.0
2017-12-02 15:00:00,11.0,31.0,199.0,327.0,242.0,252.0,27.0,8920.0,2112.0,17.0,73.0,,,,215.0
2017-12-02 16:00:00,7.88,35.76,217.86,358.76,260.13,302.38,29.84,9729.26,2381.0,18.01,82.99,,,,220.0
2017-12-02 17:00:00,5.22,42.1,202.62,339.96,243.08,289.98,31.41,9120.7,2229.8,19.14,83.3,,,,224.0
2017-12-02 18:00:00,4.0,44.94,185.51,313.69,223.69,266.41,29.18,8449.05,2069.38,17.92,77.31,,,,237.0
2017-12-02 19:00:00,3.12,48.15,196.68,340.27,240.45,289.67,33.17,9004.31,2211.14,20.38,86.28,,,,256.0
2017-12-02 20:00:00,2.2,49.5,211.09,364.85,255.87,314.36,36.87,9560.78,2385.95,22.41,94.44,,,,257.0
2017-12-02 21:00:00,1.17,51.72,226.59,400.02,279.28,344.97,41.84,10263.97,2578.72,25.95,105.85,,,,254.0
2017-12-02 22:00:00,1.0,53.26,212.32,371.82,259.81,318.1,38.31,9635.96,2408.66,23.44,97.43,,,,217.0
2017-12-02 23:00:00,,52.08,180.99,319.7,222.92,271.36,33.61,8305.7,2040.51,20.8,84.72,,,,207.0
2017-12-03 00:00:00,,54.0,180.3,318.76,223.01,270.7,33.2,8246.14,2046.42,20.58,83.96,,,,193.0
2017-12-03 01:00:00,,56.68,195.25,340.45,238.42,288.25,35.52,8899.83,2189.82,22.03,89.45,,,,189.0
2017-12-03 02:00:00,,56.32,177.34,315.45,221.12,265.35,32.2,8140.39,2005.47,19.89,82.26,,,,175.0
2017-12-03 03:00:00,,54.48,143.59,253.64,177.04,215.33,27.72,6681.08,1619.05,17.43,67.88,,,,149.0
2017-12-03 04:00:00,-1.0,56.49,172.11,303.0,211.23,256.23,32.23,7961.57,1926.71,19.95,80.38,,,,171.0
2017-12-03 05:00:00,,55.8,140.06,244.95,171.81,204.68,25.28,6480.22,1558.57,15.69,63.75,,,,141.0
2017-12-03 06:00:00,,55.45,144.53,255.02,178.13,214.16,25.32,6648.0,1623.05,15.45,66.02,,,,144.0
2017-12-03 07:00:00,,56.4,177.29,312.33,218.52,264.14,31.69,8175.38,1996.2,19.48,81.41,,,,161.0
2017-12-03 08:00:00,,54.55,148.24,255.97,181.64,211.37,26.9,6825.94,1618.52,16.69,65.57,,,,148.0
2017-12-03 09:00:00,2.5,37.3,38.0,65.22,47.1,51.17,6.64,1793.36,405.13,4.49,15.58,,,,41.0
2017-12-03 10:00:00,3.41,29.68,5.89,9.96,7.25,8.17,2.06,345.5,62.37,1.85,2.98,,,,7.0
2017-12-03 11:00:00,3.94,26.59,4.22,6.65,5.03,4.88,1.48,248.45,41.27,1.48,2.36,,,,4.0
2017-12-03 12:00:00,4.25,22.13,2.22,3.91,2.89,4.69,2.16,164.91,26.25,2.05,2.61,,,,6.0
2017-12-03 13:00:00,4.6,20.78,2.59,4.56,3.29,4.82,1.87,186.02,30.75,1.79,2.39,,,,3.0
2017-12-03 14:00:00,5.94,18.43,2.59,4.28,3.25,4.82,1.52,181.06,32.95,1.52,2.08,,,,3.0
2017-12-03 15:00:00,8.58,15.25,2.45,4.21,3.11,4.71,2.13,182.37,28.36,1.9,2.75,,,,3.0
2017-12-03 16:00:00,9.19,15.11,4.76,7.65,5.79,6.56,1.64,312.04,49.24,1.58,2.61,,,,3.0
2017-12-03 17:00:00,5.0,19.66,4.1,7.03,5.09,5.7,1.31,263.73,46.11,1.23,2.13,,,,5.0
2017-12-03 18:00:00,3.29,21.38,10.6,17.89,12.7,15.03,2.1,629.14,118.97,1.75,4.57,,,,10.0
2017-12-03 19:00:00,2.35,21.62,15.61,26.64,19.39,19.88,2.99,830.81,169.03,2.34,6.32,,,,16.0
2017-12-03 20:00:00,2.34,18.4,3.19,5.44,4.01,5.44,1.53,218.0,35.56,1.49,2.01,,,,4.0
2017-12-03 21:00:00,1.72,18.54,2.33,4.01,2.99,4.62,1.71,168.36,28.64,1.66,2.07,,,,3.0
2017-12-03 22:00:00,1.0,18.98,2.21,4.35,2.96,4.42,1.97,165.68,25.7,1.82,2.45,,,,3.0
2017-12-03 23:00:00,,18.26,1.92,3.35,2.27,4.17,1.8,137.76,24.52,1.8,2.29,,,,3.0
2017-12-04 00:00:00,,18.97,2.05,3.97,2.73,4.69,1.7,154.56,30.44,1.57,2.17,,,,4.0
2017-12-04 01:00:00,-1.03,17.5,1.64,2.79,2.04,4.44,1.85,121.6,25.81,1.79,2.02,,,,3.0
2017-12-04 02:00:00,-2.0,18.48,1.52,2.74,1.86,4.0,1.46,122.67,21.04,1.46,1.49,,,,3.0
2017-12-04 03:00:00,-2.22,19.32,1.62,2.4,1.86,4.29,1.19,123.37,21.37,1.19,1.19,,,,3.0
2017-12-04 04:00:00,-3.0,20.44,1.64,2.92,1.93,4.44,1.24,122.61,21.65,1.19,1.57,,,,3.0
2017-12-04 05:00:00,-3.54,21.67,2.22,4.19,2.94,4.86,1.63,169.05,29.85,1.63,2.15,,,,3.0
2017-12-04 06:00:00,-3.98,22.66,2.26,3.65,2.66,4.5,2.06,148.53,24.49,1.95,2.89,,,,4.0
2017-12-04 07:00:00,-4.0,23.36,3.05,5.19,3.7,5.47,1.45,202.61,35.35,1.41,2.06,,,,3.0
2017-12-04 08:00:00,-4.07,24.6,4.61,7.57,5.49,6.49,1.53,288.0,48.91,1.4,2.33,,,,6.0
2017-12-04 09:00:00,-3.72,24.43,7.82,14.02,9.32,12.44,2.56,483.54,99.39,2.09,4.39,,,,9.0
2017-12-04 10:00:00,-1.74,22.31,4.93,9.11,6.18,7.46,2.26,320.26,58.8,2.03,3.5,,,,8.0
2017-12-04 11:00:00,-0.35,19.44,4.07,6.81,4.87,6.03,1.88,250.95,45.89,1.85,2.71,,,,10.0
2017-12-04 12:00:00,1.25,17.52,2.97,4.99,3.81,4.32,1.4,209.93,32.6,1.32,1.56,,,,7.0
2017-12-04 13:00:00,1.73,17.19,2.1,3.65,2.83,4.0,1.46,162.35,26.26,1.46,1.61,,,,3.0
2017-12-04 14:00:00,3.16,16.59,2.75,4.79,3.56,4.66,1.72,194.22,28.87,1.65,2.39,,,,5.0
2017-12-04 15:00:00,5.36,15.02,3.27,6.04,4.35,5.05,1.79,220.35,36.11,1.62,2.52,,,,4.0
2017-12-04 16:00:00,5.9,15.04,3.0,5.11,3.84,4.82,1.78,211.53,31.79,1.63,2.29,,,,6.0
2017-12-04 17:00:00,2.02,19.01,4.12,7.15,4.98,5.61,1.73,254.57,45.17,1.63,2.44,,,,5.0
2017-12-04 18:00:00,1.0,20.05,9.96,16.34,11.87,14.05,2.22,564.03,111.96,1.8,4.42,,,,9.0
2017-12-04 19:00:00,1.0,21.07,16.13,28.08,19.73,22.06,3.5,843.78,172.73,2.59,7.3,,,,18.0
2017-12-04 20:00:00,,22.59,15.37,26.08,18.61,20.74,3.19,820.94,169.43,2.52,6.47,,,,19.0
2017-12-04 21:00:00,,23.31,5.18,9.45,6.47,7.36,2.14,333.26,62.44,1.95,3.28,,,,7.0
2017-12-04 22:00:00,,24.79,5.88,10.33,7.06,7.95,2.0,355.89,67.92,1.84,3.58,,,,8.0
2017-12-04 23:00:00,,26.46,5.22,9.2,6.51,7.01,1.77,326.7,60.79,1.61,2.86,,,,6.0
2017-12-05 00:00:00,-1.0,27.57,24.81,43.54,30.61,36.47,5.12,1270.72,273.27,3.7,12.21,,,,29.0
2017-12-05 01:00:00,-1.0,28.35,17.2,29.32,21.08,22.0,3.6,893.87,181.62,2.74,7.17,,,,23.0
2017-12-05 02:00:00,-1.6,31.32,13.58,24.32,16.82,19.08,3.66,728.09,152.28,2.87,6.97,,,,16.0
2017-12-05 03:00:00,-2.25,33.79,13.26,23.73,16.78,17.46,2.93,719.42,139.5,2.25,6.05,,,,18.0
2017-12-05 04:00:00,-3.0,35.36,7.55,13.39,9.02,11.34,2.32,496.67,95.1,1.93,3.96,,,,13.0
2017-12-05 05:00:00,-3.44,38.17,6.4,11.83,7.89,9.49,1.97,425.72,80.03,1.68,3.55,,,,7.0
2017-12-05 06:00:00,-4.0,40.16,6.17,11.21,7.44,8.89,2.07,409.03,76.09,1.78,3.29,,,,8.0
