time,t,h,pm1,pm10,pm25,um1,um5,um03,um05,um10,um25,ae1,ae10,ae25,pm25_station
2018-02-01 01:00:00,-4.96,36.92,0.0,39.0,35.0,67.0,2.0,5047.0,950.0,67.0,9.0,0.0,4.0,4.0,57.0
2018-02-01 02:00:00,-6.14,36.74,0.0,34.0,31.0,59.0,1.0,4531.0,849.0,59.0,8.0,0.0,0.0,0.0,40.0
2018-02-01 03:00:00,-6.2,40.48,0.0,29.0,26.0,50.0,1.0,3847.0,722.0,50.0,7.0,0.0,2.0,2.0,42.0
2018-02-01 04:00:00,-6.13,40.41,0.0,23.0,20.0,43.0,1.0,3149.0,602.0,43.0,6.0,0.0,1.0,1.0,29.0
2018-02-01 05:00:00,-6.7,45.41,0.0,18.0,16.0,35.0,0.0,2691.0,505.0,35.0,4.0,0.0,1.0,1.0,25.0
2018-02-01 06:00:00,-7.13,47.33,0.0,13.0,11.0,28.0,0.0,2181.0,412.0,28.0,3.0,0.0,0.0,0.0,25.0
2018-02-01 07:00:00,-8.55,46.2,0.0,13.0,11.0,30.0,0.0,2222.0,421.0,30.0,4.0,0.0,0.0,0.0,25.0
2018-02-01 08:00:00,-7.88,42.9,0.0,12.0,10.0,29.0,0.0,2123.0,407.0,29.0,3.0,0.0,1.0,0.0,26.0
2018-02-01 09:00:00,-3.92,34.54,0.0,14.0,12.0,29.0,0.0,2260.0,423.0,29.0,3.0,0.0,1.0,0.0,26.0
2018-02-01 10:00:00,1.34,25.27,0.0,17.0,16.0,33.0,0.0,2584.0,481.0,33.0,4.0,0.0,2.0,2.0,27.0
2018-02-01 11:00:00,3.84,21.64,0.0,20.0,18.0,35.0,0.0,2836.0,518.0,35.0,4.0,0.0,2.0,2.0,34.0
2018-02-01 12:00:00,7.91,17.91,0.0,21.0,19.0,37.0,0.0,2946.0,536.0,37.0,4.0,0.0,0.0,0.0,42.0
2018-02-01 13:00:00,11.22,15.29,0.0,11.0,9.0,25.0,0.0,1958.0,365.0,25.0,3.0,0.0,1.0,1.0,36.0
2018-02-01 14:00:00,13.11,13.84,0.0,9.0,7.0,24.0,0.0,1838.0,347.0,24.0,3.0,0.0,1.0,1.0,64.0
2018-02-01 15:00:00,12.01,14.26,0.0,6.0,5.0,19.0,0.0,1416.0,271.0,19.0,2.0,0.0,1.0,0.0,99.0
2018-02-01 16:00:00,10.74,15.07,0.0,3.0,2.0,11.0,0.0,851.0,165.0,11.0,1.0,0.0,0.0,0.0,20.0
2018-02-01 17:00:00,7.08,17.98,0.0,5.0,4.0,16.0,0.0,1238.0,232.0,16.0,1.0,0.0,0.0,0.0,19.0
2018-02-01 18:00:00,4.42,23.2,0.0,6.0,5.0,19.0,0.0,1433.0,270.0,19.0,2.0,0.0,0.0,0.0,35.0
2018-02-01 19:00:00,3.44,26.14,0.0,4.0,3.0,15.0,0.0,1112.0,212.0,15.0,1.0,0.0,0.0,0.0,26.0
2018-02-01 20:00:00,2.64,24.11,0.0,2.0,2.0,9.0,0.0,750.0,135.0,9.0,0.0,0.0,0.0,0.0,12.0
2018-02-01 21:00:00,1.56,23.16,0.0,1.0,0.0,5.0,0.0,521.0,91.0,5.0,0.0,0.0,0.0,0.0,11.0
2018-02-01 22:00:00,0.68,22.47,0.0,0.0,0.0,4.0,0.0,345.0,62.0,4.0,0.0,0.0,0.0,0.0,4.0
2018-02-01 23:00:00,-0.4,22.67,0.0,0.0,0.0,3.0,0.0,306.0,55.0,3.0,0.0,0.0,0.0,0.0,3.0
2018-02-02 00:00:00,-1.53,26.86,0.0,0.0,0.0,4.0,0.0,365.0,68.0,4.0,0.0,0.0,0.0,0.0,5.0
2018-02-02 01:00:00,-2.56,29.76,0.0,0.0,0.0,4.0,0.0,403.0,73.0,4.0,0.0,0.0,0.0,0.0,6.0
2018-02-02 02:00:00,-3.19,30.14,0.0,0.0,0.0,5.0,0.0,437.0,80.0,5.0,0.0,0.0,0.0,0.0,5.0
2018-02-02 03:00:00,-3.66,29.98,0.0,0.0,0.0,5.0,0.0,448.0,83.0,5.0,0.0,0.0,0.0,0.0,7.0
2018-02-02 04:00:00,-3.72,30.56,0.0,0.0,0.0,6.0,0.0,491.0,93.0,6.0,0.0,0.0,0.0,0.0,7.0
2018-02-02 05:00:00,-4.19,31.7,0.0,0.0,0.0,6.0,0.0,509.0,93.0,6.0,0.0,0.0,0.0,0.0,6.0
2018-02-02 06:00:00,-4.86,29.77,0.0,0.0,0.0,5.0,0.0,421.0,77.0,5.0,0.0,0.0,0.0,0.0,4.0
2018-02-02 07:00:00,-5.62,26.34,0.0,0.0,0.0,6.0,0.0,506.0,91.0,6.0,0.0,0.0,0.0,0.0,4.0
2018-02-02 08:00:00,-6.02,25.51,0.0,1.0,1.0,6.0,0.0,553.0,98.0,6.0,0.0,0.0,0.0,0.0,5.0
2018-02-02 09:00:00,-1.96,20.1,0.0,1.0,0.0,6.0,0.0,545.0,100.0,6.0,0.0,0.0,0.0,0.0,3.0
2018-02-02 10:00:00,-0.09,17.65,0.0,0.0,0.0,6.0,0.0,485.0,86.0,6.0,0.0,0.0,0.0,0.0,5.0
2018-02-02 11:00:00,0.07,18.01,0.0,0.0,0.0,5.0,0.0,451.0,82.0,5.0,0.0,0.0,0.0,0.0,6.0
2018-02-02 12:00:00,2.53,16.12,0.0,0.0,0.0,5.0,0.0,433.0,79.0,5.0,0.0,0.0,0.0,0.0,6.0
2018-02-02 13:00:00,3.77,14.64,0.0,0.0,0.0,4.0,0.0,425.0,75.0,4.0,0.0,0.0,0.0,0.0,7.0
2018-02-02 14:00:00,5.58,12.7,0.0,0.0,0.0,4.0,0.0,409.0,70.0,4.0,0.0,0.0,0.0,0.0,7.0
2018-02-02 15:00:00,5.98,11.94,0.0,0.0,0.0,4.0,0.0,423.0,75.0,4.0,0.0,0.0,0.0,0.0,3.0
2018-02-02 16:00:00,5.13,12.22,0.0,0.0,0.0,4.0,0.0,445.0,75.0,4.0,0.0,0.0,0.0,0.0,6.0
2018-02-02 17:00:00,2.44,13.99,0.0,0.0,0.0,4.0,0.0,427.0,75.0,4.0,0.0,0.0,0.0,0.0,6.0
2018-02-02 18:00:00,-1.19,17.34,0.0,0.0,0.0,5.0,0.0,483.0,82.0,5.0,0.0,0.0,0.0,0.0,5.0
2018-02-02 19:00:00,-2.11,18.5,0.0,1.0,0.0,6.0,0.0,535.0,96.0,6.0,0.0,0.0,0.0,0.0,4.0
2018-02-02 20:00:00,-2.85,19.91,0.0,1.0,1.0,6.0,0.0,601.0,105.0,6.0,0.0,0.0,0.0,0.0,5.0
2018-02-02 21:00:00,-3.92,21.99,0.0,2.0,1.0,8.0,0.0,698.0,127.0,8.0,0.0,0.0,0.0,0.0,7.0
2018-02-02 22:00:00,-4.21,22.11,0.0,0.0,0.0,5.0,0.0,475.0,86.0,5.0,0.0,0.0,0.0,0.0,5.0
2018-02-02 23:00:00,-4.37,22.87,0.0,0.0,0.0,5.0,0.0,488.0,85.0,5.0,0.0,0.0,0.0,0.0,5.0
2018-02-03 00:00:00,-6.1,26.27,0.0,2.0,2.0,8.0,0.0,717.0,128.0,8.0,0.0,0.0,0.0,0.0,6.0
2018-02-03 01:00:00,-7.3,29.1,0.0,2.0,1.0,9.0,0.0,724.0,129.0,9.0,0.0,0.0,0.0,0.0,6.0
2018-02-03 02:00:00,-8.1,31.92,0.0,2.0,1.0,8.0,0.0,716.0,129.0,8.0,0.0,0.0,0.0,0.0,7.0
2018-02-03 03:00:00,-9.26,38.02,0.0,2.0,2.0,9.0,0.0,742.0,140.0,9.0,0.0,0.0,0.0,0.0,9.0
2018-02-03 04:00:00,-9.82,36.6,0.0,2.0,2.0,9.0,0.0,790.0,141.0,9.0,0.0,0.0,0.0,0.0,10.0
2018-02-03 05:00:00,-10.6,44.16,0.0,2.0,2.0,9.0,0.0,820.0,147.0,9.0,0.0,0.0,0.0,0.0,8.0
2018-02-03 06:00:00,-11.09,50.23,0.0,3.0,2.0,10.0,0.0,828.0,147.0,10.0,1.0,0.0,0.0,0.0,11.0
2018-02-03 07:00:00,-11.44,50.2,0.0,4.0,3.0,14.0,0.0,1137.0,208.0,14.0,1.0,0.0,0.0,0.0,19.0
2018-02-03 08:00:00,-11.8,47.54,0.0,4.0,3.0,13.0,0.0,1057.0,196.0,13.0,1.0,0.0,0.0,0.0,12.0
2018-02-03 09:00:00,-4.52,32.85,0.0,5.0,5.0,16.0,0.0,1342.0,244.0,16.0,1.0,0.0,0.0,0.0,12.0
2018-02-03 10:00:00,1.01,21.0,0.0,6.0,5.0,16.0,0.0,1395.0,249.0,16.0,1.0,0.0,0.0,0.0,16.0
2018-02-03 11:00:00,1.32,18.41,0.0,2.0,2.0,9.0,0.0,803.0,142.0,9.0,0.0,0.0,0.0,0.0,11.0
2018-02-03 12:00:00,4.27,15.75,0.0,2.0,2.0,8.0,0.0,760.0,132.0,8.0,0.0,0.0,0.0,0.0,8.0
2018-02-03 13:00:00,5.11,14.79,0.0,0.0,0.0,4.0,0.0,409.0,73.0,4.0,0.0,0.0,0.0,0.0,3.0
2018-02-03 14:00:00,6.7,13.8,0.0,0.0,0.0,5.0,0.0,472.0,81.0,5.0,0.0,0.0,0.0,0.0,4.0
2018-02-03 15:00:00,5.32,14.79,0.0,0.0,0.0,4.0,0.0,438.0,75.0,4.0,0.0,0.0,0.0,0.0,13.0
2018-02-03 16:00:00,6.16,14.13,0.0,0.0,0.0,4.0,0.0,402.0,71.0,4.0,0.0,0.0,0.0,0.0,8.0
2018-02-03 17:00:00,4.02,14.49,0.0,0.0,0.0,3.0,0.0,309.0,53.0,3.0,0.0,0.0,0.0,0.0,3.0
2018-02-03 18:00:00,-0.47,17.48,0.0,0.0,0.0,2.0,0.0,256.0,46.0,2.0,0.0,0.0,0.0,0.0,3.0
2018-02-03 19:00:00,-1.58,18.6,0.0,0.0,0.0,3.0,0.0,365.0,63.0,3.0,0.0,0.0,0.0,0.0,3.0
2018-02-03 20:00:00,-2.32,19.77,0.0,0.0,0.0,5.0,0.0,440.0,79.0,5.0,0.0,0.0,0.0,0.0,4.0
2018-02-03 21:00:00,-3.1,20.76,0.0,0.0,0.0,4.0,0.0,408.0,71.0,4.0,0.0,0.0,0.0,0.0,3.0
2018-02-03 22:00:00,-4.3,23.2,0.0,0.0,0.0,5.0,0.0,463.0,81.0,5.0,0.0,0.0,0.0,0.0,5.0
2018-02-03 23:00:00,-5.98,25.34,0.0,1.0,0.0,6.0,0.0,546.0,99.0,6.0,0.0,0.0,0.0,0.0,3.0
2018-02-04 00:00:00,-6.49,26.33,0.0,0.0,0.0,5.0,0.0,415.0,78.0,5.0,0.0,0.0,0.0,0.0,7.0
2018-02-04 01:00:00,-7.1,28.09,0.0,0.0,0.0,5.0,0.0,424.0,76.0,5.0,0.0,0.0,0.0,0.0,4.0
2018-02-04 02:00:00,-8.17,31.51,0.0,0.0,0.0,5.0,0.0,457.0,82.0,5.0,0.0,0.0,0.0,0.0,4.0
2018-02-04 03:00:00,-7.97,32.13,0.0,0.0,0.0,5.0,0.0,456.0,83.0,5.0,0.0,0.0,0.0,0.0,4.0
2018-02-04 04:00:00,-9.36,34.59,0.0,1.0,0.0,6.0,0.0,512.0,92.0,6.0,0.0,0.0,0.0,0.0,7.0
2018-02-04 05:00:00,-9.47,35.89,0.0,1.0,0.0,7.0,0.0,563.0,104.0,7.0,0.0,0.0,0.0,0.0,20.0
2018-02-04 06:00:00,-9.35,36.21,0.0,1.0,0.0,6.0,0.0,561.0,97.0,6.0,0.0,0.0,0.0,0.0,6.0
2018-02-04 07:00:00,-9.55,36.69,0.0,1.0,1.0,6.0,0.0,567.0,102.0,6.0,0.0,0.0,0.0,0.0,9.0
2018-02-04 08:00:00,-10.11,43.35,0.0,2.0,2.0,9.0,0.0,737.0,133.0,9.0,0.0,0.0,0.0,0.0,4.0
2018-02-04 09:00:00,-4.4,30.92,0.0,3.0,3.0,12.0,0.0,1006.0,181.0,12.0,1.0,0.0,0.0,0.0,8.0
2018-02-04 10:00:00,0.37,22.63,0.0,3.0,2.0,9.0,0.0,842.0,144.0,9.0,0.0,0.0,0.0,0.0,12.0
2018-02-04 11:00:00,1.71,21.56,0.0,4.0,4.0,13.0,0.0,1121.0,198.0,13.0,1.0,0.0,0.0,0.0,19.0
2018-02-04 12:00:00,4.68,17.88,0.0,14.0,13.0,26.0,0.0,2207.0,388.0,26.0,3.0,0.0,1.0,1.0,35.0
2018-02-04 13:00:00,7.51,15.5,0.0,8.0,7.0,20.0,0.0,1740.0,302.0,20.0,2.0,0.0,1.0,0.0,21.0
2018-02-04 14:00:00,8.97,14.44,0.0,6.0,6.0,17.0,0.0,1534.0,265.0,17.0,1.0,0.0,1.0,0.0,18.0
2018-02-04 15:00:00,7.81,15.28,0.0,11.0,10.0,22.0,0.0,1968.0,346.0,22.0,2.0,0.0,0.0,0.0,25.0
2018-02-04 16:00:00,6.33,16.61,0.0,12.0,11.0,23.0,0.0,2071.0,359.0,23.0,2.0,0.0,1.0,1.0,23.0
