time,t,h,pm1,pm10,pm25,um1,um5,um03,um05,um10,um25,ae1,ae10,ae25,pm25_station
2017-07-13 01:00:00,33.19,67.81,0.0,107.0,103.0,116.0,2.0,3384.0,1961.0,116.0,13.0,0.0,17.0,16.0,69.0
2017-07-13 02:00:00,32.35,69.83,0.0,111.0,107.0,125.0,3.0,2388.0,2069.0,125.0,14.0,0.0,10.0,9.0,71.0
2017-07-13 03:00:00,31.72,70.46,0.0,88.0,84.0,98.0,2.0,3981.0,1625.0,98.0,11.0,0.0,3.0,3.0,61.0
2017-07-13 04:00:00,31.07,72.46,0.0,80.0,78.0,91.0,1.0,3282.0,1504.0,91.0,10.0,0.0,17.0,17.0,47.0
2017-07-13 05:00:00,30.6,73.34,0.0,80.0,78.0,92.0,2.0,3304.0,1527.0,92.0,10.0,0.0,12.0,12.0,49.0
2017-07-13 06:00:00,30.4,74.25,0.0,84.0,81.0,95.0,1.0,3918.0,1583.0,95.0,10.0,0.0,19.0,19.0,43.0
2017-07-13 07:00:00,30.65,73.83,0.0,90.0,87.0,100.0,2.0,4269.0,1675.0,100.0,11.0,0.0,6.0,6.0,50.0
2017-07-13 08:00:00,32.15,69.73,0.0,94.0,91.0,104.0,2.0,4751.0,1743.0,104.0,11.0,0.0,5.0,5.0,51.0
2017-07-13 09:00:00,33.93,64.61,0.0,98.0,95.0,104.0,2.0,5100.0,1774.0,104.0,11.0,0.0,13.0,13.0,52.0
2017-07-13 10:00:00,35.07,61.56,0.0,99.0,97.0,104.0,2.0,5371.0,1788.0,104.0,11.0,0.0,13.0,12.0,66.0
2017-07-13 11:00:00,35.67,61.11,0.0,102.0,99.0,106.0,2.0,5318.0,1811.0,106.0,11.0,0.0,13.0,13.0,67.0
2017-07-13 12:00:00,36.48,58.14,0.0,115.0,112.0,118.0,2.0,3635.0,2025.0,118.0,12.0,0.0,9.0,9.0,71.0
2017-07-13 13:00:00,36.92,58.7,0.0,123.0,119.0,123.0,2.0,2215.0,2149.0,123.0,13.0,0.0,7.0,7.0,75.0
2017-07-13 14:00:00,37.15,57.98,0.0,134.0,130.0,134.0,2.0,2609.0,2328.0,134.0,14.0,0.0,22.0,22.0,83.0
2017-07-13 15:00:00,38.22,55.28,0.0,140.0,137.0,138.0,2.0,3588.0,2429.0,138.0,14.0,0.0,28.0,27.0,86.0
2017-07-13 16:00:00,37.92,54.81,0.0,135.0,132.0,132.0,2.0,2947.0,2320.0,132.0,14.0,0.0,17.0,16.0,91.0
2017-07-13 17:00:00,37.49,57.21,0.0,127.0,124.0,127.0,2.0,1932.0,2212.0,127.0,13.0,0.0,8.0,7.0,82.0
2017-07-13 18:00:00,36.2,60.73,0.0,121.0,118.0,121.0,2.0,1259.0,2108.0,121.0,13.0,0.0,6.0,6.0,80.0
2017-07-13 19:00:00,35.12,63.64,0.0,116.0,112.0,119.0,2.0,1055.0,2047.0,119.0,12.0,0.0,21.0,20.0,81.0
2017-07-13 20:00:00,34.28,67.0,0.0,115.0,112.0,116.0,2.0,1806.0,2024.0,116.0,12.0,0.0,17.0,17.0,77.0
2017-07-13 21:00:00,34.47,66.14,0.0,92.0,89.0,94.0,1.0,4595.0,1611.0,94.0,9.0,0.0,15.0,14.0,59.0
2017-07-13 22:00:00,30.11,77.79,0.0,107.0,103.0,123.0,2.0,2594.0,2032.0,123.0,14.0,0.0,12.0,11.0,55.0
2017-07-13 23:00:00,26.97,89.59,0.0,104.0,99.0,129.0,3.0,2701.0,2056.0,129.0,15.0,0.0,5.0,5.0,36.0
2017-07-14 00:00:00,26.5,85.63,0.0,61.0,59.0,78.0,1.0,2195.0,1241.0,78.0,9.0,0.0,6.0,6.0,21.0
2017-07-14 01:00:00,26.64,87.13,0.0,76.0,73.0,95.0,2.0,2800.0,1510.0,95.0,11.0,0.0,10.0,9.0,39.0
2017-07-14 02:00:00,26.92,81.03,0.0,50.0,47.0,63.0,1.0,2947.0,1006.0,63.0,7.0,0.0,5.0,5.0,31.0
2017-07-14 03:00:00,27.05,80.5,0.0,53.0,51.0,67.0,1.0,2866.0,1077.0,67.0,7.0,0.0,4.0,3.0,36.0
2017-07-14 04:00:00,27.03,81.22,0.0,52.0,50.0,66.0,1.0,2947.0,1066.0,66.0,7.0,0.0,2.0,2.0,38.0
2017-07-14 05:00:00,26.72,79.37,0.0,41.0,39.0,53.0,0.0,5249.0,849.0,53.0,6.0,0.0,6.0,6.0,28.0
